"sseqid","qseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","staxid","ssciname","scomname","sblastname","sskingdom","gdescription"
"gi|506335631|ref|WP_015855350.1|","1",100,306,0,0,1,306,1,306,0,628,69223,"Dickeya paradisiaca","Dickeya paradisiaca","enterobacteria","Bacteria","carbon-nitrogen hydrolase family protein [Dickeya paradisiaca]"
"gi|544756393|ref|WP_021183260.1|","1",81.967,305,55,0,1,305,1,305,0,537,1332069,"Pantoea sp. AS-PWVM4","Pantoea sp. AS-PWVM4","enterobacteria","Bacteria","carbon-nitrogen hydrolase family protein [Pantoea sp. AS-PWVM4]"
"gi|503274412|ref|WP_013509073.1|","1",81.639,305,56,0,1,305,1,305,0,536,592316,"Pantoea sp. At-9b","Pantoea sp. At-9b","enterobacteria","Bacteria","carbon-nitrogen hydrolase family protein [Pantoea sp. At-9b]"
"gi|1183641963|ref|WP_084874758.1|","1",81.639,305,56,0,1,305,1,305,0,531,55209,"Pantoea cypripedii","Pantoea cypripedii","enterobacteria","Bacteria","carbon-nitrogen hydrolase family protein [Pantoea cypripedii]"
"gi|935565610|ref|WP_054450188.1|","1",82.353,306,54,0,1,306,1,306,0,526,1806481,"Achromobacter sp. 2789STDY5608625","Achromobacter sp. 2789STDY5608625","b-proteobacteria","Bacteria","carbon-nitrogen hydrolase family protein [Achromobacter sp. 2789STDY5608625]"
"gi|1480102177|ref|WP_119450836.1|","1",82.026,306,55,0,1,306,1,306,0,526,2292262,"Achromobacter sp. K91","Achromobacter sp. K91","b-proteobacteria","Bacteria","carbon-nitrogen hydrolase family protein [Achromobacter sp. K91]"
"gi|1208280204|ref|WP_088138767.1|","1",82.026,306,55,0,1,306,1,306,0,526,85698,"Achromobacter xylosoxidans","Achromobacter xylosoxidans","b-proteobacteria","Bacteria","carbon-nitrogen hydrolase family protein [Achromobacter xylosoxidans]"
"gi|1011861738|ref|WP_062679740.1|","1",82.026,306,55,0,1,306,1,306,0,525,222,"Achromobacter","Achromobacter","b-proteobacteria","Bacteria","MULTISPECIES: carbon-nitrogen hydrolase family protein [Achromobacter]"
"gi|640713674|ref|WP_025136934.1|","1",81.046,306,58,0,1,306,1,306,0,525,1397275,"Achromobacter sp. DH1f","Achromobacter sp. DH1f","b-proteobacteria","Bacteria","carbon-nitrogen hydrolase family protein [Achromobacter sp. DH1f]"
"gi|759852150|ref|WP_043543642.1|","1",82.026,306,55,0,1,306,1,306,0,525,1532557,"Achromobacter sp. RTa","Achromobacter sp. RTa","b-proteobacteria","Bacteria","carbon-nitrogen hydrolase family protein [Achromobacter sp. RTa]"
"gi|1027707145|ref|WP_063642148.1|","1",81.699,306,56,0,1,306,1,306,0,524,217204,"Achromobacter insolitus","Achromobacter insolitus","b-proteobacteria","Bacteria","carbon-nitrogen hydrolase family protein [Achromobacter insolitus]"
"gi|935499722|ref|WP_054424301.1|","1",80.719,306,59,0,1,306,1,306,0,524,1806484,"Achromobacter sp. ATCC31444","Achromobacter sp. ATCC31444","b-proteobacteria","Bacteria","carbon-nitrogen hydrolase family protein [Achromobacter sp. ATCC31444]"
"gi|757534951|ref|WP_042796649.1|","1",81.699,306,56,0,1,306,1,306,0,524,217204,"Achromobacter insolitus","Achromobacter insolitus","b-proteobacteria","Bacteria","carbon-nitrogen hydrolase family protein [Achromobacter insolitus]"
