"sseqid","qseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","staxid","ssciname","scomname","sblastname","sskingdom","gdescription"
"gi|488139590|ref|WP_002210798.1|",1,100,471,0,0,1,471,1,471,0,973,1649845,"Yersinia pseudotuberculosis complex","Yersinia pseudotuberculosis complex","enterobacteria","Bacteria","MULTISPECIES: aspartate aminotransferase family protein [Yersinia pseudotuberculosis complex]"
"gi|912926496|ref|WP_050309673.1|",1,99.788,471,1,0,1,471,1,471,0,972,633,"Yersinia pseudotuberculosis","Yersinia pseudotuberculosis","enterobacteria","Bacteria","aspartate aminotransferase family protein [Yersinia pseudotuberculosis]"
"gi|740614541|ref|WP_038400055.1|",1,99.788,471,1,0,1,471,1,471,0,972,633,"Yersinia pseudotuberculosis","Yersinia pseudotuberculosis","enterobacteria","Bacteria","aspartate aminotransferase family protein [Yersinia pseudotuberculosis]"
"gi|1437944913|emb|SUP89345.1|",1,99.575,471,2,0,1,471,1,471,0,971,633,"Yersinia pseudotuberculosis","Yersinia pseudotuberculosis","enterobacteria","Bacteria","putative pyridoxal-dependent decarboxylase [Yersinia pseudotuberculosis]"
"gi|501261331|ref|WP_012304349.1|",1,99.575,471,2,0,1,471,1,471,0,970,633,"Yersinia pseudotuberculosis","Yersinia pseudotuberculosis","enterobacteria","Bacteria","aspartate aminotransferase family protein [Yersinia pseudotuberculosis]"
"gi|499505342|ref|WP_011191982.1|",1,99.788,471,1,0,1,471,1,471,0,969,633,"Yersinia pseudotuberculosis","Yersinia pseudotuberculosis","enterobacteria","Bacteria","aspartate aminotransferase family protein [Yersinia pseudotuberculosis]"
"gi|501053926|ref|WP_012105457.1|",1,99.363,471,3,0,1,471,1,471,0,969,1649845,"Yersinia pseudotuberculosis complex","Yersinia pseudotuberculosis complex","enterobacteria","Bacteria","MULTISPECIES: aspartate aminotransferase family protein [Yersinia pseudotuberculosis complex]"
"gi|912958666|ref|WP_050320784.1|",1,99.363,471,3,0,1,471,1,471,0,969,633,"Yersinia pseudotuberculosis","Yersinia pseudotuberculosis","enterobacteria","Bacteria","aspartate aminotransferase family protein [Yersinia pseudotuberculosis]"
"gi|756143333|ref|WP_042592586.1|",1,99.575,471,2,0,1,471,1,471,0,969,633,"Yersinia pseudotuberculosis","Yersinia pseudotuberculosis","enterobacteria","Bacteria","aspartate aminotransferase family protein [Yersinia pseudotuberculosis]"
"gi|742342992|ref|WP_038834289.1|",1,99.575,471,2,0,1,471,1,471,0,968,633,"Yersinia pseudotuberculosis","Yersinia pseudotuberculosis","enterobacteria","Bacteria","amino acid decarboxylase [Yersinia pseudotuberculosis]"
"gi|1369001426|ref|WP_106461636.1|",1,99.787,470,1,0,1,470,1,470,0,967,633,"Yersinia pseudotuberculosis","Yersinia pseudotuberculosis","enterobacteria","Bacteria","aspartate aminotransferase family protein [Yersinia pseudotuberculosis]"
"gi|501382013|ref|WP_012413579.1|",1,99.575,471,2,0,1,471,1,471,0,967,629,"Yersinia","Yersinia","enterobacteria","Bacteria","MULTISPECIES: aspartate aminotransferase family protein [Yersinia]"
"gi|920595601|ref|WP_053010995.1|",1,99.151,471,4,0,1,471,1,471,0,965,633,"Yersinia pseudotuberculosis","Yersinia pseudotuberculosis","enterobacteria","Bacteria","aspartate aminotransferase family protein [Yersinia pseudotuberculosis]"
"gi|742319473|ref|WP_038824137.1|",1,99.363,471,3,0,1,471,1,471,0,965,633,"Yersinia pseudotuberculosis","Yersinia pseudotuberculosis","enterobacteria","Bacteria","amino acid decarboxylase [Yersinia pseudotuberculosis]"
"gi|514850008|ref|WP_016595102.1|",1,100,459,0,0,1,459,1,459,0,950,632,"Yersinia pestis","Yersinia pestis","enterobacteria","Bacteria","aspartate aminotransferase family protein"
"gi|910801124|ref|WP_050103064.1|",1,96.178,471,18,0,1,471,1,471,0,942,1649845,"Yersinia pseudotuberculosis complex","Yersinia pseudotuberculosis complex","enterobacteria","Bacteria","MULTISPECIES: aminotransferase class V-fold PLP-dependent enzyme [Yersinia pseudotuberculosis complex]"
"gi|644962388|ref|WP_025383143.1|",1,95.966,471,19,0,1,471,1,471,0,920,1649845,"Yersinia pseudotuberculosis complex","Yersinia pseudotuberculosis complex","enterobacteria","Bacteria","MULTISPECIES: aminotransferase class V-fold PLP-dependent enzyme [Yersinia pseudotuberculosis complex]"
"gi|1035666641|ref|WP_064513780.1|",1,84.255,470,74,0,1,470,1,470,0,806,935293,"Yersinia entomophaga","Yersinia entomophaga","enterobacteria","Bacteria","aminotransferase class V-fold PLP-dependent enzyme [Yersinia entomophaga]"
"gi|902507820|ref|WP_049598350.1|",1,84.043,470,75,0,1,470,1,470,0,805,685706,"Yersinia nurmii","Yersinia nurmii","enterobacteria","Bacteria","aminotransferase class V-fold PLP-dependent enzyme [Yersinia nurmii]"
